1.0,0.0,0.0,0.0,0.0,0.0,0.1
1.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002
1.0,0.0,0.0,0.0,0.0,0.0,0.2
1.0,0.0,0.0,0.0,0.0,0.0,0.25
1.0,0.0,0.0,0.0,0.0,0.0,0.3
1.0,0.0,0.0,0.0,0.0,0.0,0.35
1.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997
1.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996
1.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994
1.0,0.0,0.0,0.0,0.0,0.0,0.5499999999999999
1.0,0.0,0.0,0.0,0.0,0.0,0.6
1.0,0.0,0.0,0.0,0.0,0.0,0.65
1.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001
1.0,0.0,0.0,0.0,0.0,0.0,0.7500000000000001
1.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000002
1.0,0.0,0.0,0.0,0.0,0.0,0.8500000000000002
1.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000002
1.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000003
1.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
1.0,0.0,0.0,0.0,0.0,0.0,1.0500000000000003
1.0,0.0,0.0,0.0,0.0,0.0,1.1000000000000003
1.0,0.0,0.0,0.0,0.0,0.0,1.1500000000000004
1.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000004
1.0,0.0,0.0,0.0,0.0,0.0,1.2500000000000004
1.0,0.0,0.0,0.0,0.0,0.0,1.3000000000000005
1.0,0.0,0.0,0.0,0.0,0.0,1.3500000000000005
1.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000006
1.0,0.0,0.0,0.0,0.0,0.0,1.4500000000000006
1.0,0.0,0.0,0.0,0.0,0.0,1.5000000000000007
1.0,0.0,0.0,0.0,0.0,0.0,1.5500000000000007
1.0,0.0,0.0,0.0,0.0,0.0,1.6000000000000008
1.0,0.0,0.0,0.0,0.0,0.0,1.6500000000000008
1.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000008
1.0,0.0,0.0,0.0,0.0,0.0,1.7500000000000009
1.0,0.0,0.0,0.0,0.0,0.0,1.800000000000001
1.0,0.0,0.0,0.0,0.0,0.0,1.850000000000001
1.0,0.0,0.0,0.0,0.0,0.0,1.900000000000001
1.0,0.0,0.0,0.0,0.0,0.0,1.950000000000001
1.0,0.0,0.0,0.0,0.0,0.0,2.000000000000001
1.0,0.0,0.0,0.0,0.0,0.0,2.0500000000000007
1.0,0.0,0.0,0.0,0.0,0.0,2.1000000000000005
1.0,0.001294,0.0,0.0,0.0,0.0,2.1500000000000004
1.0,0.0,0.0,0.0,0.0,0.0,2.2
1.0,0.0,0.0,0.0,0.0,0.0,2.25
1.0,0.0,0.0,0.0,0.0,0.0,2.3
1.0,0.001183,0.0,0.0,0.0,0.0,2.3499999999999996
1.0,0.0,0.0,0.0,0.0,0.0,2.3999999999999995
1.0,0.0,0.0,0.0,0.0,0.0,2.4499999999999993
1.0,0.0,0.0,0.0,0.0,0.0,2.499999999999999
1.0,0.0,0.0,0.0,0.0,0.0,2.549999999999999
1.0,0.0,0.0,0.0,0.0,0.0,2.5999999999999988
1.0,0.0,0.0,0.0,0.0,0.0,2.6499999999999986
1.0,0.002143,0.0,0.0,0.0,0.0,2.6999999999999984
1.0,0.0,0.0,0.0,0.0,0.0,2.7499999999999982
1.0,0.0,0.0,0.0,0.0,0.0,2.799999999999998
1.0,0.0,0.0,0.0,0.0,0.0,2.849999999999998
1.0,0.0009494,0.0,0.0,0.0,0.0,2.8999999999999977
1.0,0.0009231,0.0,0.0,0.0,0.0,2.9499999999999975
1.0,0.001914,0.0,0.0,0.0,0.0,2.9999999999999973
1.0,0.0008885,0.0,0.0,0.0,0.0,3.049999999999997
1.0,0.002708,0.0,0.0,0.0,0.0,3.099999999999997
1.0,0.001839,0.0,0.0,0.0,0.0,3.149999999999997
1.0,0.0,0.0,0.0,0.0,0.0,3.1999999999999966
1.0,0.002606,0.0,0.0,0.0,0.0,3.2499999999999964
1.0,0.004082,0.0001512,0.0,0.0,0.0,3.2999999999999963
1.0,0.00712,0.0,0.0,0.0,0.0,3.349999999999996
1.0,0.001618,0.0,0.0,0.0,0.0,3.399999999999996
1.0,0.002529,0.0,0.0,0.0,0.0,3.4499999999999957
1.0,0.002456,0.0,0.0,0.0,0.0,3.4999999999999956
1.0,0.007168,0.0,0.0,0.0,0.0,3.5499999999999954
1.0,0.006369,0.0001415,0.0,0.0,0.0,3.599999999999995
1.0,0.002409,0.0,0.0,0.0,0.0,3.649999999999995
1.0,0.003024,0.0,0.0,0.0,0.0,3.699999999999995
1.0,0.004456,0.0,0.0,0.0,0.0,3.7499999999999947
1.0,0.006576,0.0,0.0,0.0,0.0,3.7999999999999945
1.0,0.003708,0.0,0.0,0.0,0.0,3.8499999999999943
1.0,0.01095,0.0001899,0.0,0.0,0.0,3.899999999999994
1.0,0.009496,0.0002516,0.0,0.0,0.0,3.949999999999994
1.0,0.005654,0.0001256,0.0,0.0,0.0,3.999999999999994
1.0,0.008536,6.141e-05,0.0,0.0,0.0,4.049999999999994
1.0,0.01214,0.000182,0.0,0.0,0.0,4.099999999999993
1.0,0.009995,0.0001204,0.0,0.0,0.0,4.149999999999993
1.0,0.007799,5.954e-05,0.0,0.0,0.0,4.199999999999993
1.0,0.01223,0.0002925,5.85e-05,0.0,0.0,4.249999999999993
1.0,0.008492,5.857e-05,0.0,0.0,0.0,4.299999999999993
1.0,0.01319,0.0005228,5.809e-05,0.0,0.0,4.3499999999999925
1.0,0.01792,0.0001701,0.0,0.0,0.0,4.399999999999992
1.0,0.01261,0.0001719,0.0,0.0,0.0,4.449999999999992
1.0,0.01512,0.0003347,0.0,0.0,0.0,4.499999999999992
1.0,0.02131,0.0004416,0.0,0.0,0.0,4.549999999999992
1.0,0.02639,0.001445,0.00032
